key,ko,en,ja,비고
monitor.title,출전 동물 정보,Racer Info,出走動物の情報,전시대 스크린
monitor.hint,"피규어를 아래 유리 상자에
올려놓으세요","Place a figurine in the
glass case below","フィギュアを下のガラスケースに
置いてください",줄바꿈 포함
monitor.name,{0}번  {1},#{0}  {1},{0}番  {1},스크린 제목 (공백 2칸)
monitor.stats,"최저 속도  <b>{0}</b>
최고 속도  <b>{1}</b>
가속  <b>{2}</b>","Min speed  <b>{0}</b>
Max speed  <b>{1}</b>
Acceleration  <b>{2}</b>","最低速度  <b>{0}</b>
最高速度  <b>{1}</b>
加速  <b>{2}</b>",줄바꿈 포함
item.bat,빠따,Bat,バット,HUD 슬롯 1
item.radioskill,발동 무전기,Skill Radio,発動無線機,HUD 슬롯 4
item.radioexec,처형 무전기,Execution Radio,処刑無線機,HUD 슬롯 5
phase.lobby,대기 중,Waiting,待機中,HUD 페이즈
phase.betting,베팅 중,Betting,ベッティング中,
phase.loadout,준비 중,Get ready,準備中,
phase.countdown,출발 준비,On your marks,スタート準備,
phase.racing,경기 중,Racing,レース中,
phase.settlement,결과 표시 중,Results,結果表示中,
phase.ceremony,시상식,Ceremony,表彰式,매치 종료 연출
ceremony.exit,{0}초 후 메인메뉴로 이동,Returning to menu in {0}s,{0}秒後にメインメニューへ,시상식 우측 상단 카운트다운
ceremony.dancehint,[1~6] 춤 바꾸기,[1-6] Change dance,[1~6] ダンス変更,우승자 전용 힌트
hud.lobbyplayers,참가자 {0}/{1} — 방장의 시작 대기 중,Players {0}/{1} — waiting for host,参加者 {0}/{1} — ホストの開始待ち,
hud.hand,손,Hand,手,베팅 방 손 칸
hud.betnone,예측 미제출,No prediction yet,予想未提出,
aim.blocked,사용 불가능한 동물입니다,Can't use on this animal,この動物には使えません,발동 무전기 × 패시브
aim.use,{0}에게 사용,Use on {0},{0}に使用,조준 힌트
board.betting,베팅 접수 중,Bets open,ベット受付中,월드 전광판 (소형)
board.loadout,아이템 준비,Item prep,アイテム準備,
board.settlement,정산 중,Settling,精算中,
board.eliminated,탈락,OUT,脱落,전광판 순위표
settle.round,ROUND {0} — 결과,ROUND {0} — Results,ROUND {0} — 結果,정산판 제목
settle.final,최종 결과,Final Results,最終結果,
settle.line,{0}위   {1}   {2} P,#{0}   {1}   {2} P,{0}位   {1}   {2} P,최종 순위 한 줄
settle.winner,   우승!,   Winner!,   優勝！,1위 꼬리표 (앞 공백 유지)
lever.prompt,E - 게임 시작,E - Start game,E - ゲーム開始,시작 레버
lever.confirm,"{0}/{1}명입니다.
그래도 시작하시겠습니까?","Only {0}/{1} players.
Start anyway?","{0}/{1}人です。
それでも開始しますか？",줄바꿈 포함
title.player,플레이어{0},Player{0},プレイヤー{0},랜덤 닉네임
title.wrongpw,비밀번호가 틀렸습니다,Wrong password,パスワードが違います,
room.locked,잠금,Lock,ロック,방 목록 잠금 열
player.me,나,Me,自分,오프라인 내 이름
player.bot,봇{0},Bot {0},ボット{0},봇 이름 ({0}=A/B/C)
net.connecting,서버 접속 중...,Connecting...,サーバー接続中…,타이틀 상태문구
net.connectingto,서버 접속 중... ({0}),Connecting... ({0}),サーバー接続中…（{0}）,
net.changing,서버 변경 중...,Changing server...,サーバー変更中…,
net.notready,아직 서버 접속 중입니다 — 잠시 후 다시 시도하세요,Still connecting — try again in a moment,まだ接続中です — 少し後にもう一度お試しください,
net.roomname,{0}의 방 #{1},{0}'s room #{1},{0}の部屋 #{1},방 이름
net.creating,방 생성 중...,Creating room...,ルーム作成中…,
net.joining,입장 중...,Joining...,入室中…,
net.connected,접속 완료 (서버: {0}),Connected (server: {0}),接続完了（サーバー: {0}）,
net.lobby,로비 입장 — 방 목록 수신 중,In lobby — fetching room list,ロビー入場 — ルーム一覧取得中,
net.loading,입장 완료 — 게임 로드 중...,Joined — loading game...,入室完了 — ゲーム読み込み中…,
net.createfail,방 생성 실패: {0},Room creation failed: {0},ルーム作成失敗: {0},
net.full,방이 가득 찼습니다,Room is full,ルームが満員です,
net.roomgone,방이 사라졌습니다,Room no longer exists,ルームが存在しません,
net.joinfail,입장 실패: {0},Failed to join: {0},入室失敗: {0},
net.disconnected,접속 끊김: {0},Disconnected: {0},接続切断: {0},
net.reconnecting,연결이 끊겼습니다 — 재접속 중...,Connection lost — reconnecting...,接続が切れました — 再接続中…,
net.reconnectfail,재접속 실패,Reconnect failed,再接続失敗,
net.rejoinfail,방 복귀 실패 (매치가 끝났거나 자리가 만료됨),Couldn't rejoin (match ended or seat expired),復帰失敗（マッチ終了または席の期限切れ）,
net.hostleft,방장이 나가서 매치가 중단되었습니다 — 대기실로 복귀,Host left — match aborted. Back to the lobby,ホストが退出したためマッチ中断 — ロビーに戻ります,
server.auto,서버: 자동 ({0}),Server: Auto ({0}),サーバー: 自動（{0}）,좌하단 서버바
server.fixed,서버: {0},Server: {0},サーバー: {0},
server.connecting,서버: 접속 중...,Server: connecting...,サーバー: 接続中…,
server.connectingto,서버: {0} 접속 중...,Server: connecting to {0}...,サーバー: {0} に接続中…,
region.auto,자동,Auto,自動,
region.autofull,자동 (권장),Auto (recommended),自動（推奨）,서버 선택 팝업
region.kr,한국,Korea,韓国,
region.jp,일본,Japan,日本,
region.asia,아시아,Asia,アジア,
region.in,인도,India,インド,
region.us,미국,USA,アメリカ,
region.usw,미국 서부,US West,アメリカ西部,
region.ussc,미국 중남부,US South Central,アメリカ中南部,
region.eu,유럽,Europe,ヨーロッパ,
region.uae,중동,Middle East,中東,
region.sa,남미,South America,南米,
region.za,남아공,South Africa,南アフリカ,
region.au,호주,Australia,オーストラリア,
region.cae,캐나다,Canada,カナダ,
region.tr,튀르키예,Türkiye,トルコ,
region.hk,홍콩,Hong Kong,香港,
custom.title,커스터마이징,Customize,カスタマイズ,커마 패널
custom.nolib,부위 라이브러리가 연결되지 않았습니다,Part library not connected,パーツライブラリが未接続です,
custom.random,랜덤,Random,ランダム,
custom.cancel,취소,Cancel,キャンセル,
custom.confirm,확정,Confirm,確定,
custom.eschint,Esc = 취소,Esc = Cancel,Esc = キャンセル,
custom.none,없음,None,なし,부위 안 씀
animal.horse,말,Horse,ウマ,SO nameKey
animal.deer,사슴,Deer,シカ,
animal.tiger,호랑이,Tiger,トラ,
animal.cat,고양이,Cat,ネコ,
animal.dog,개,Dog,イヌ,
animal.chicken,치킨,Chicken,チキン,
animal.penguin,펭귄,Penguin,ペンギン,
animal.human,인간,Human,人間,v18 신규 레이서
item.boost,부스트,Boost,ブースト,SO nameKey (표기만 — SO itemName은 유지)
item.slow,감속,Slow,スロー,
settings.title,설정,Settings,設定,설정 패널 (씬 라벨)
settings.volume,전체 볼륨,Master Volume,全体音量,
settings.bgm,배경음,Music,BGM,
settings.sfx,효과음,SFX,効果音,
settings.sens,마우스 감도,Mouse Sensitivity,マウス感度,
settings.fov,시야각,FOV,視野角,
settings.res,해상도,Resolution,解像度,
settings.mode,화면 모드,Display Mode,画面モード,
settings.lang,언어,Language,言語,
settings.close,닫기,Close,閉じる,
pause.resume,돌아가기,Resume,ゲームに戻る,ESC 메뉴
pause.leave,메인 메뉴로,Main Menu,メインメニューへ,ESC 메뉴 — 방 나가고 타이틀로
pause.leaving,메인 메뉴로 나가는 중...,Returning to main menu...,メインメニューに戻っています...,방 이탈 안내
pause.quit,게임 종료,Quit Game,ゲーム終了,ESC 메뉴 + 타이틀 공용
confirm.yes,네,Yes,はい,시작 확인창
confirm.no,아니오,No,いいえ,
zone.first,1등,1st,1位,베팅방 상자 라벨 (월드 TMP)
zone.second,2등 이상,2nd or better,2位以上,
zone.third,3등 이상,3rd or better,3位以上,
title.createroom,방 만들기,Create Room,ルーム作成,타이틀 메인 버튼
title.joinroom,방 참가,Join Room,ルーム参加,
create.title,방 생성,Create a Room,ルーム作成,방 생성 팝업 제목
create.players,인원 수,Players,人数,
create.rounds,라운드,Rounds,ラウンド,
create.password,비밀번호,Password,パスワード,
create.playersph,인원 수 입력..,Enter player count..,人数を入力..,입력칸 플레이스홀더
create.roundsph,라운드 입력..,Enter rounds..,ラウンド数を入力..,
create.passwordph,비밀번호 입력..,Enter password..,パスワードを入力..,
create.make,만들기,Create,作成,
join.empty,열린 방이 없습니다.,No open rooms.,開いているルームがありません。,
join.name,방 이름,Room,ルーム名,방 목록 헤더
join.players,인원,Players,人数,방 목록 헤더
pw.enter,입장하기,Enter,入室する,비밀번호 팝업
server.change,변경,Change,変更,서버바 버튼
server.select,서버 선택,Select Server,サーバー選択,서버 팝업 제목
custom.slot.body,몸,Body,体,커마 슬롯 이름 (SO 폴백: CharacterPartLibrary.displayName)
custom.slot.faces,표정,Face,表情,
custom.slot.outerwear,상의,Top,トップス,
custom.slot.pants,하의,Bottoms,ボトムス,
custom.slot.accessories,소품,Accessory,小物,
custom.slot.glasses,안경,Glasses,メガネ,
custom.slot.gloves,장갑,Gloves,手袋,
custom.slot.hairstyle,머리,Hair,髪型,
custom.slot.hat,모자,Hat,帽子,
custom.slot.shoes,신발,Shoes,靴,
custom.part.body.0,기본,Default,デフォルト,커마 부위 이름
custom.part.faces.0,화남,Angry,怒り,
custom.part.faces.1,웃음,Smile,笑顔,
custom.part.faces.2,평범,Neutral,普通,
custom.part.outerwear.0,정장,Suit,スーツ,
custom.part.outerwear.1,상의 2,Top 2,トップス2,
custom.part.outerwear.2,상의 3,Top 3,トップス3,
custom.part.outerwear.3,상의 4,Top 4,トップス4,
custom.part.outerwear.4,마스코트 인형,Mascot Suit,着ぐるみ,
custom.part.pants.0,하의 1,Bottoms 1,ボトムス1,
custom.part.pants.1,하의 2,Bottoms 2,ボトムス2,
custom.part.pants.2,반바지,Shorts,ハーフパンツ,
custom.part.accessories.0,광대코,Clown Nose,ピエロの鼻,
custom.part.accessories.1,헤드폰,Headphones,ヘッドホン,
custom.part.accessories.2,콧수염 A,Mustache A,口ひげA,
custom.part.accessories.3,콧수염 B,Mustache B,口ひげB,
custom.part.accessories.4,쪽쪽이,Pacifier,おしゃぶり,
custom.part.glasses.0,안경 1,Glasses 1,メガネ1,
custom.part.glasses.1,안경 2,Glasses 2,メガネ2,
custom.part.gloves.0,장갑 1,Gloves 1,手袋1,
custom.part.gloves.1,장갑 2,Gloves 2,手袋2,
custom.part.hairstyle.0,머리 1,Hair 1,髪型1,
custom.part.hairstyle.1,머리 2,Hair 2,髪型2,
custom.part.hairstyle.2,머리 3,Hair 3,髪型3,
custom.part.hat.0,모자 1,Hat 1,帽子1,
custom.part.hat.1,모자 2,Hat 2,帽子2,
custom.part.hat.2,모자 3,Hat 3,帽子3,
custom.part.hat.3,모자 4,Hat 4,帽子4,
custom.part.shoes.0,슬리퍼 A,Sandals A,サンダルA,
custom.part.shoes.1,슬리퍼 B,Sandals B,サンダルB,
custom.part.shoes.2,운동화,Sneakers,スニーカー,
custom.part.shoes.3,양말,Socks,靴下,
create.needplayers,인원 수를 입력하세요 (2~4),Enter the player count (2-4),人数を入力してください（2〜4）,방 만들기 필수 입력 경고
create.needrounds,라운드 수를 입력하세요 (1~9),Enter the round count (1-9),ラウンド数を入力してください（1〜9）,
animal.cow,소,Cow,ウシ,신규 레이서 (스킬 없음)
animal.pigeon,비둘기,Pigeon,ハト,
animal.camel,낙타,Camel,ラクダ,
animal.monkey,원숭이,Monkey,サル,
animal.polarbear,북극곰,Polar Bear,ホッキョクグマ,
animal.zebra,얼룩말,Zebra,シマウマ,
guide.game.title,게임 안내,How to Play,遊び方,대기장소 게임 설명판 제목
guide.game.body,"동물 9마리가 트랙을 2바퀴 달린다.

① 베팅 — 자기 방에서 피규어를 상자에 넣어
1등 / 2등 이상 / 3등 이상을 예측한다 (비밀!)
② 레이스 — 주사기와 무전기로 개입하고
빠따로 다른 플레이어를 견제하자
③ 정산 — 적중하면 90 / 50 / 30점

모든 라운드가 끝나고 점수가 가장 높은 사람이 우승!","Nine animals race two laps around the track.

1) Bet — in your room, place figurines in the boxes
to predict 1st / top 2 / top 3 (in secret!)
2) Race — interfere with syringes and radios,
and swing your bat at other players
3) Payout — correct picks earn 90 / 50 / 30 points

Highest total score after all rounds wins!","9頭の動物がトラックを2周走る。

① ベット — 自分の部屋でフィギュアを箱に入れ
1位・2位以内・3位以内を予想（秘密厳守！）
② レース — 注射器と無線機で介入し
バットで他プレイヤーを妨害しよう
③ 精算 — 的中で90/50/30点

全ラウンド終了後、最高得点の人が優勝！",대기장소 게임 설명판 본문
guide.item.bat.desc,다른 플레이어를 한 방에 쓰러트리는 근접무기,A melee weapon that knocks other players down in one hit.,他のプレイヤーを一撃で倒す近接武器。,대기장소 아이템 설명
guide.item.boost.desc,"레이스 중 동물에게 조준 발사하면
잠시동안 빨라진다.","Shoot an animal during the race
to speed it up for a moment.","レース中に動物へ撃つと
しばらく速くなる。",
guide.item.slow.desc,"레이스 중 동물에게 조준 발사하면
잠시동안 느려진다.","Shoot an animal during the race
to slow it down for a moment.","レース中に動物へ撃つと
しばらく遅くなる。",
guide.item.radioskill.desc,"동물에게 조준 발사하면 5초 후
그 동물의 스킬을 강제로 발동시킨다.
이미 쓴 액티브 스킬도 다시 터뜨릴 수 있다.","Shoot an animal and 5 seconds later
its skill is forcibly triggered.
Even an already-used active skill fires again.","動物へ撃つと5秒後に
そのスキルを強制発動させる。
使用済みのアクティブスキルも再発動できる。",
guide.item.radioexec.desc,"조준 없이 사용하면 5초 후
그 순간 꼴등인 동물이 탈락한다.","Use it (no aiming) and 5 seconds later
the animal currently in last place is eliminated.","照準なしで使うと5秒後に
その時点で最下位の動物が脱落する。",
skill.name.camouflage,위장,Camouflage,擬態,얼룩말 스킬
skill.desc.camouflage,"15초간 몸이 희미해지며 유체가 된다.
이동속도 50% 증가, 몸싸움과 몽둥이를 그대로 통과.","Fades to a ghost for 15 seconds.
+50% speed, phases through jostling and club hits.","15秒間、体が薄れて幽体になる。
移動速度50%増加、体当たりや棍棒をすり抜ける。",
animal.giraffe,기린,Giraffe,キリン,신규 레이서 (v21)
skill.name.necksweep,목 휘두르기,Neck Sweep,ネックスイープ,기린 스킬
skill.desc.necksweep,"달리면서 목을 하늘로 쭉 뻗었다가 내리찍으며
주변을 360도 휩쓴다. 닿은 동물은 3초 기절.","While running, stretches its neck sky-high, then swings it low
in a full circle. Animals hit are stunned for 3s.","走りながら首を高く伸ばして振り下ろし、
周囲を360度なぎ払う。当たった動物は3秒気絶。",
